TANGGAL,DESKRIPSI,NOMER PART,Qty,Sat,PENGGUNA,No Lamb, HARGA  , JUMLAH 
2023-10-12,Oil Engine MEDITRAN SX,15W-40,1.5,ltr, N 8761 UG ,C,"32,100","48,150"
2023-10-12,Clamp Accu,73 motor,1,set, N 9663 UH ,E,"30,000","30,000"
2023-10-12,Minyak Rem PRESTONE / ARNEX,DOT 3,0.3,ltr, N 9663 UH ,E,"75,000","22,500"
2023-10-12,BAN LUAR 825-16 SWL HD/BJ,3915310,1,pcs, N 8761 UG ,C,"1,700,000","1,700,000"
2023-10-12,BAN LUAR 825-16 SWL HD/BJ,4016308,1,pcs, N 8761 UG ,C,"1,700,000","1,700,000"
2023-10-12,BAN DALAM 750/825-16 GT,BAN JAYA,2,pcs, N 8761 UG ,C,"215,000","430,000"
2023-10-12,MARSHET R16 SWL,BAN JAYA,2,pcs, N 8761 UG ,C,"50,000","100,000"
2023-10-12,BAUT RODA NKR71 RR-LH (IBK),73 MOTOR,1,pcs, N 9456 UG ,307,"60,000","60,000"
2023-10-12,Oil Engine MEDITRAN SX,15W-40,3,ltr, N 8515 UH ,404,"32,100","96,300"
2023-10-12,Oil Hydraulic MEDITRAN S10W,SAE 10 W,0.5,ltr, N 8515 UH ,404,"29,000","14,500"
2023-10-12,OIL PERTAMINA SAE 140,RORED HDA 140,2,pcs, N 8430 BF ,313,"40,000","80,000"
2023-10-13,Oil Engine MEDITRAN SX,15W-40,4.5,ltr, N 8515 UH ,404,"32,100","144,450"
2023-10-13,OIL PERTAMINA SAE 140,RORED HDA 140,1,pcs, N 8502 UA ,405,"40,000","40,000"
2023-10-13,Minyak Rem PRESTONE / ARNEX,DOT 3,0.3,ltr, N 8502 UA ,405,"75,000","22,500"
2023-10-14,Service Dongkrak 32 TON Merah,Bengkel ANDALAN,1,pcs, DT UJB Nur Sohib ,141,"224,000","224,000"
2023-10-14,Ban Luar Duraturn Y601 750/16 / DGP,306 103 2332,1,pcs, N 8430 BF ,313,"1,697,655","1,697,655"
2023-10-14,Ban Luar Duraturn Y601 750/16 / DGP,306 300 9238,1,pcs, N 8430 BF ,313,"1,697,655","1,697,655"
2023-10-14,Ban Dalam IBK 700/750-16,DIRGAPUTRA EKAPRATAMA,2,pcs, N 8430 BF ,313,"134,390","268,780"
2023-10-14,Marshet IBK R16 Besi,DIRGAPUTRA EKAPRATAMA,2,pcs, N 8430 BF ,313,"38,724","77,448"
2023-10-14,Velg Baru L6 - 12 mm Mercy - UJB,SBM,1,pcs, N 8448 UF ,126,"800,000","800,000"
2023-10-14,Ring Velg R-20,Anugerah,1,pcs, N 8198 UH ,132,"250,000","250,000"
2023-10-14,Oil Engine MEDITRAN SX,15W-40,9,ltr, N 8427 BF ,311,"32,100","288,900"
2023-10-14,Oil Filter NKR & NMR/ Astra,16-97247 514-0,1,pcs, N 8427 BF ,311,"94,575","94,575"
2023-10-14,Pir Extra No 2 / DIRGA,IZ 115H/02,1,pcs, N 8427 BF ,311,"225,068","225,068"
2023-10-14,Oil Engine MEDITRAN SX,15W-40,9,ltr, N 9429 UG ,303,"32,100","288,900"
2023-10-14,Oil Filter NKR & NMR/ Astra,16-97247 514-0,1,pcs, N 9429 UG ,303,"94,575","94,575"
2023-10-14,Velg repair L6-12mm,TRIYENNY JAYA,1,pcs, N 8444 UF ,127,"60,000","60,000"
2023-10-14,DAUN VELG CANTER L6 12mm / Mercy,SBM,1,pcs, N 8444 UF ,127,"340,000","340,000"
2023-10-14,Kawat Las RB 4.0 mm,Untuk Las Velg,11,pcs, N 8444 UF ,127,"1,565","17,215"
2023-10-14,TERPAL 3x4 A5,SUMBER BARU,1,pcs, N 8444 UF ,127,"90,000","90,000"
2023-10-14,Velg repair L6-12mm - UJB,TRIYENNY JAYA,1,pcs, N 8430 BF ,313,"60,000","60,000"
2023-10-14,DAUN VELG CANTER L6 12mm / Mercy,SBM,1,pcs, N 8430 BF ,313,"340,000","340,000"
2023-10-14,Kawat Las RB 4.0 mm,Untuk Las Velg,11,pcs, N 8430 BF ,313,"1,565","17,215"
2023-10-14,Oil Engine MEDITRAN SX,15W-40,9,ltr, N 8430 BF ,313,"32,100","288,900"
2023-10-14,Oil Filter NKR & NMR/ Astra,16-97247 514-0,1,pcs, N 8430 BF ,313,"94,575","94,575"
2023-10-14,Fuel Filter  HINO 23401/PAK MUQ,RM Surabaya,1,pcs, N 8430 BF ,313,"39,000","39,000"
